category,name,desc,mitigation,reference
STC,GET_BASE,"CALL to a POP; finds base of code or data, often the packed version of the code; also used often in obfuscated/packed shellcode",,Szor2005
STC,GETMODULE_HANDLE,"LoadLibrary API calls or direct access of kernel32 via PEB (fs[0]) pointers, used to rebuild IAT or just obfuscate library use",,Szor2005
STC,GETPROC_ADDRESS,"GetProcAddress API calls or “imports by hash”, used to rebuild IAT or just obfuscate API use",,Szor2005
STC,GET_APIS_WITH_CRC,same as “imports by hash”,Imports-by-hash can be a good way to signature if the hashing method or implementation is unique.,Szor2005
"DBG, SBX",HOOK_API,insert JMP/JCC instruction(s) at start of API calls,,Szor2005
"DBG, SBX",HOOK_INTERRUPT,modification of interrupt vector or descriptor tables,,Szor2005
"DBG, SBX",HOOK_FILE_SYSTEM,do something when particular file/dir is accessed; often through hooking certain API calls such as CreateFileA and CreateFileW,,Szor2005
,STEALTH,"Hiding on the system, for example by hooking NtQuerySystemInformation to hide a process name from TaskManager/tasklist",,Szor2005
,,,,
,INIT_EXPLOIT,Code associated with a known vulnerability,,Szor2005
STC,ENCODE_FILE,"Encode a file on disk, such as an implant’s config file","Debug.  Find API call that accesses file.
Encoding function could be signatured.",Szor2005
STC,POLY_ENGINE / META_ENGINE,"Polymorphic engine. Often makes up 50% of the “code”. Look for code that creates instructions such as NOP, MOV, XOR",,Szor2005
,,,,
"DBG, SBX",Stolen API Code (aka byte stealing),"First few instructions or bytes of an API are executed in user code, allowing the IAT to point into the middle of an API function. This confuses IAT rebuilders such as ImpRec and Scylla.",,Bhat2015
"STC, DBG",Alignment,Some analysis tools cannot handle binaries with misaligned sections.,Use binary viewer that alerts on misaligned sections.  Fix manually.,Bhat2015
,,,,
DBG,SizeOfImage,Changinging this value during run time can prevent some debuggers from attaching. see example assembly on page 1. Also confuses some unpackers and dumpers.,Identify access to and modification of headers.,Ferrie2008
DBG,Modify PE Header,"More general case of above, where any part of the header could be changed or even erased. Example erasure assembly on page 2.",Identify access to and modification of headers.,Ferrie2008
"STC, DBG",nanomites,int3 with code replacement table; debugs itself; see page 2,,Ferrie2008
,stolen bytes,,,Ferrie2008
"STC, DMP",guard pages,"blocks of code are encrypted individually, and decrypted temporarily only upon execution. One variant uses self-debugging to accomplish.",Modify binary to touch all pages then pause; take memory snapshot.,Ferrie2008
,,,,
DBG,pre-debug,Unable to coax debugger to attach to process or to break until after the code of interest has been executed,"1. patch binary, insert 0xcc
2. if it is a DLL, change EP to point to RET and add new export that points to the code of interest
3. use IDA or OllyDbg2",
,,,,
"STC, DBG",return obfuscation,Overwrite the RET address on the stack or the code at the RET address.  Variation seen that writes to the start-up code or main module that called the malware's WinMain or DllMain,"When this is used as the tail transition, any of the typical tail transition heuristics can be used, such as section hop.",
"STC, DBG, DMP",malloc,"Instead of unpacking into a pre-defined section/segment (ex: .text) of the binary, uses malloc() / VirtualAlloc() to create a new segment. This makes keeping track of memory locations across different runs more difficult, as there is no guarantee that malloc/VirtualAlloc will assign the same address range each time.","Section hop, segment breakpoint, or trace until EIP in range",
STC,argument obfuscation,"simple number or string arguments to API calls are calculated at runtime, making static analysis more difficult.",,
"STC",Variable Recomposition,"Variables, often strings, are broken into multiple parts and store out of order, in different memory ranges, or both.  They must then be recomposed before use.",,Holh1998
"STC",Value-Dependent Jumps,"Explicit use of computed values for control flow, often many times in the same basic block or function.",,Holh1998
"STC,DBG,SBX,EMU",Deposited Keys,"Parts of the code and/or data is encrypted or otherwise relies on data external to the file itself.  For example, malware that contains code that is encrypted with a key that is downloaded from a server; malware that only runs if certain other software is installed on the system; or malware that reads certain attributes of the system (BIOS version string, hostname, etc) and then encrypts portions of its code or data using those attributes as input, thus preventing itself from being able to be run on a different system, such as a sandbox.",,Holh1998
"STC,DBG,SBX,EMU",Secure Triggers,"Code and/or data is encrypted until the underlying system satisfies a preselected condition unknown to the analyst.  This is a form of Deposited Keys.",,Futoransky2006
"STC,DBG",Minification,"Per wikipedia, minification is 'the process of removing all unnecessary characters from source code without changing its functionality.'  A simple example is when all the unecessary whitespace and comments are removed.  This is distinguished from compression in that it neither adds to nor changes the code seen by the interpreter.  Minification is often used for malware written in interpreted languages, such as JavaScript, PHP, or Python.  Legitimate code that is transmitted many times a second, such as JavaScript on websites, often uses minification to simply reduce the number of bytes transmitted.","Mitigation, often called 'unminifying', 'prettifying', or 'beautifying' is trivial, though may require a language-specific tool (ex: JSBeautifier).",Chishkala2016
